日期,产品,销售额,数量,类别
2024-01-01,笔记本电脑,45000,15,电子产品
2024-01-01,运动鞋,12000,60,运动户外
2024-01-02,笔记本电脑,52000,18,电子产品
2024-01-02,洗面奶,3500,100,美妆护肤
2024-01-03,运动鞋,15000,75,运动户外
2024-01-03,蓝牙耳机,8800,44,电子产品
2024-01-04,笔记本电脑,48000,16,电子产品
2024-01-04,洗面奶,4200,120,美妆护肤
2024-01-05,运动鞋,9600,48,运动户外
2024-01-05,蓝牙耳机,7200,36,电子产品
2024-01-06,笔记本电脑,55000,19,电子产品
2024-01-06,运动鞋,18000,90,运动户外
2024-01-07,洗面奶,2800,80,美妆护肤
2024-01-07,蓝牙耳机,9500,48,电子产品
2024-01-08,笔记本电脑,42000,14,电子产品
2024-01-08,运动鞋,11000,55,运动户外
2024-01-09,洗面奶,5000,150,美妆护肤
2024-01-09,蓝牙耳机,6800,34,电子产品
2024-01-10,笔记本电脑,60000,20,电子产品
2024-01-10,运动鞋,13500,68,运动户外
